device_count,rate,trial,IP_old,IP_new
2,6,0,5.1,5.376
2,6,1,5.076,5.376
2,6,2,5.016,5.376
2,6,3,5.112,5.376
2,6,4,5.148,5.376
2,6,5,5.124,5.376
2,6,6,5.148,5.388
2,6,7,5.004,5.376
2,6,8,5.04,5.376
2,6,9,5.124,5.376
2,9,0,7.476,7.788
2,9,1,7.44,7.8
2,9,2,7.38,7.788
2,9,3,7.392,7.788
2,9,4,7.356,7.788
2,9,5,7.488,7.788
2,9,6,7.5,7.788
2,9,7,7.44,7.8
2,9,8,7.464,7.788
2,9,9,7.56,7.776
2,12,0,9.816,10.068
2,12,1,9.768,10.008
2,12,2,9.612,10.044
2,12,3,9.612,10.056
2,12,4,9.588,10.056
2,12,5,9.636,10.044
2,12,6,9.564,10.02
2,12,7,9.66,10.044
2,12,8,9.528,10.032
2,12,9,9.636,10.044
2,18,0,13.74,14.16
2,18,1,13.716,14.16
2,18,2,13.572,14.148
2,18,3,13.74,14.136
2,18,4,13.824,14.16
2,18,5,13.692,14.184
2,18,6,13.692,14.208
2,18,7,13.836,14.172
2,18,8,13.776,14.124
2,18,9,13.74,14.196
2,24,0,17.4,17.652
2,24,1,17.292,17.688
2,24,2,17.244,17.652
2,24,3,17.22,17.64
2,24,4,17.064,17.7
2,24,5,17.34,17.7
2,24,6,17.436,17.7
2,24,7,17.328,17.652
2,24,8,17.424,17.688
2,24,9,17.004,17.724
2,36,0,23.412,23.832
2,36,1,23.388,23.88
2,36,2,23.556,23.88
2,36,3,23.472,23.82
2,36,4,23.772,23.82
2,36,5,23.64,23.784
2,36,6,23.544,23.928
2,36,7,23.472,23.808
2,36,8,23.7,23.808
2,36,9,23.64,23.808
2,48,0,28.86,28.632
2,48,1,28.968,28.752
2,48,2,28.548,28.668
2,48,3,28.536,28.74
2,48,4,28.404,28.596
2,48,5,28.776,28.752
2,48,6,28.788,28.584
2,48,7,28.404,28.704
2,48,8,28.524,28.572
2,48,9,28.74,28.572
2,54,0,31.332,31.152
2,54,1,31.044,31.02
2,54,2,31.068,31.068
2,54,3,31.188,30.924
2,54,4,31.08,30.996
2,54,5,30.852,31.056
2,54,6,31.056,31.056
2,54,7,31.008,31.02
2,54,8,31.032,31.056
2,54,9,31.02,30.948
5,6,0,4.596,4.464
5,6,1,4.8,4.596
5,6,2,4.752,4.668
5,6,3,4.836,4.632
5,6,4,4.692,4.704
5,6,5,4.596,4.608
5,6,6,4.728,4.692
5,6,7,4.644,4.608
5,6,8,4.644,4.632
5,6,9,4.788,4.56
5,9,0,6.888,6.876
5,9,1,6.804,6.708
5,9,2,6.84,6.936
5,9,3,6.768,6.864
5,9,4,6.948,6.804
5,9,5,6.864,6.708
5,9,6,6.924,6.804
5,9,7,6.876,6.828
5,9,8,6.912,6.828
5,9,9,6.744,6.816
5,12,0,8.82,8.892
5,12,1,9.048,8.928
5,12,2,8.844,8.856
5,12,3,8.904,8.928
5,12,4,8.856,8.808
5,12,5,8.76,8.736
5,12,6,8.724,8.784
5,12,7,8.676,8.88
5,12,8,8.76,8.724
5,12,9,8.736,8.712
5,18,0,12.72,12.648
5,18,1,12.54,12.66
5,18,2,12.708,12.504
5,18,3,12.576,12.804
5,18,4,12.876,12.648
5,18,5,12.684,12.828
5,18,6,12.744,12.492
5,18,7,12.456,12.888
5,18,8,12.72,12.708
5,18,9,12.684,12.42
5,24,0,15.888,15.708
5,24,1,16.008,16.152
5,24,2,16.02,16.044
5,24,3,16.116,15.804
5,24,4,16.032,16.392
5,24,5,15.948,15.972
5,24,6,15.924,16.008
5,24,7,15.852,16.212
5,24,8,16.02,16.236
5,24,9,16.056,16.2
5,36,0,22.008,22.416
5,36,1,21.768,22.644
5,36,2,21.936,22.32
5,36,3,21.912,22.152
5,36,4,22.152,22.476
5,36,5,22.176,22.164
5,36,6,22.236,22.2
5,36,7,22.32,22.512
5,36,8,22.068,22.512
5,36,9,22.14,22.728
5,48,0,27.12,27.348
5,48,1,27.096,27.504
5,48,2,26.928,27.528
5,48,3,27.024,27.588
5,48,4,27.18,27.576
5,48,5,26.604,27.336
5,48,6,26.964,27.636
5,48,7,26.772,27.852
5,48,8,26.7,27.48
5,48,9,27.048,27.516
5,54,0,29.304,29.76
5,54,1,29.496,30.252
5,54,2,29.364,30.192
5,54,3,29.784,30.0
5,54,4,29.484,30.252
5,54,5,29.484,29.952
5,54,6,29.46,30.324
5,54,7,29.544,30.096
5,54,8,29.16,30.42
5,54,9,29.388,30.252
10,6,0,4.224,3.828
10,6,1,4.284,3.804
10,6,2,4.536,3.888
10,6,3,4.284,3.78
10,6,4,4.368,3.948
10,6,5,4.248,3.744
10,6,6,4.224,3.804
10,6,7,4.392,3.888
10,6,8,4.452,3.816
10,6,9,4.416,3.876
10,9,0,6.348,5.64
10,9,1,6.192,5.58
10,9,2,6.336,5.736
10,9,3,6.3,5.784
10,9,4,6.42,5.772
10,9,5,6.312,5.664
10,9,6,6.396,5.64
10,9,7,6.24,5.484
10,9,8,6.264,5.748
10,9,9,6.336,5.712
10,12,0,8.148,7.272
10,12,1,8.172,7.404
10,12,2,8.196,7.368
10,12,3,8.148,7.212
10,12,4,8.088,7.44
10,12,5,8.172,7.32
10,12,6,8.268,7.404
10,12,7,8.28,7.38
10,12,8,8.304,7.308
10,12,9,8.316,7.368
10,18,0,11.604,10.812
10,18,1,11.964,10.68
10,18,2,12.048,10.524
10,18,3,11.508,10.512
10,18,4,11.52,10.752
10,18,5,11.7,10.704
10,18,6,11.796,10.68
10,18,7,11.532,10.596
10,18,8,11.964,10.704
10,18,9,11.82,10.884
10,24,0,15.06,13.56
10,24,1,15.072,13.332
10,24,2,14.592,13.68
10,24,3,15.036,13.692
10,24,4,14.928,13.5
10,24,5,14.844,13.308
10,24,6,15.036,13.332
10,24,7,15.06,13.656
10,24,8,14.976,13.872
10,24,9,14.796,13.596
10,36,0,21.024,19.248
10,36,1,20.676,19.176
10,36,2,20.556,19.26
10,36,3,20.796,18.9
10,36,4,20.532,18.972
10,36,5,20.832,19.032
10,36,6,20.892,19.296
10,36,7,20.52,19.248
10,36,8,20.856,19.128
10,36,9,20.64,19.296
10,48,0,25.296,23.928
10,48,1,25.416,23.484
10,48,2,25.092,23.664
10,48,3,25.572,23.412
10,48,4,25.56,23.712
10,48,5,25.08,23.808
10,48,6,25.08,23.508
10,48,7,25.092,23.664
