device_count,rate,trial,UDP_old,UDP_new
2,6,0,5.064,5.275648
2,6,1,5.088,5.275648
2,6,2,5.016,5.275648
2,6,3,5.16,5.275648
2,6,4,5.148,5.275648
2,6,5,5.124,5.275648
2,6,6,5.136,5.287424
2,6,7,5.004,5.275648
2,6,8,5.088,5.275648
2,6,9,5.136,5.275648
2,9,0,7.476,7.642624
2,9,1,7.428,7.6544
2,9,2,7.38,7.642624
2,9,3,7.356,7.642624
2,9,4,7.368,7.642624
2,9,5,7.488,7.642624
2,9,6,7.512,7.642624
2,9,7,7.416,7.6544
2,9,8,7.488,7.642624
2,9,9,7.572,7.630848
2,12,0,9.768,9.880064
2,12,1,9.768,9.821184
2,12,2,9.612,9.856512
2,12,3,9.564,9.868288
2,12,4,9.588,9.868288
2,12,5,9.636,9.856512
2,12,6,9.552,9.83296
2,12,7,9.66,9.856512
2,12,8,9.552,9.844736
2,12,9,9.636,9.856512
2,18,0,13.692,13.89568
2,18,1,13.728,13.89568
2,18,2,13.62,13.883904
2,18,3,13.752,13.872128
2,18,4,13.824,13.89568
2,18,5,13.692,13.919232
2,18,6,13.692,13.942784
2,18,7,13.812,13.907456
2,18,8,13.788,13.860352
2,18,9,13.788,13.931008
2,24,0,17.4,17.322496
2,24,1,17.292,17.357824
2,24,2,17.22,17.322496
2,24,3,17.22,17.31072
2,24,4,17.064,17.3696
2,24,5,17.376,17.3696
2,24,6,17.412,17.3696
2,24,7,17.316,17.322496
2,24,8,17.388,17.357824
2,24,9,17.064,17.393152
2,36,0,23.436,23.387136
2,36,1,23.436,23.43424
2,36,2,23.556,23.43424
2,36,3,23.472,23.37536
2,36,4,23.712,23.37536
2,36,5,23.64,23.340032
2,36,6,23.544,23.481344
2,36,7,23.496,23.363584
2,36,8,23.664,23.363584
2,36,9,23.628,23.363584
2,48,0,28.884,28.097536
2,48,1,28.968,28.215296
2,48,2,28.524,28.132864
2,48,3,28.548,28.20352
2,48,4,28.404,28.062208
2,48,5,28.8,28.215296
2,48,6,28.788,28.050432
2,48,7,28.404,28.168192
2,48,8,28.464,28.038656
2,48,9,28.764,28.038656
2,54,0,31.332,30.570496
2,54,1,31.008,30.44096
2,54,2,31.08,30.488064
2,54,3,31.188,30.346752
2,54,4,31.092,30.417408
2,54,5,30.864,30.476288
2,54,6,31.068,30.476288
2,54,7,31.008,30.44096
2,54,8,31.044,30.476288
2,54,9,31.02,30.370304
5,6,0,4.68,4.380672
5,6,1,4.632,4.510208
5,6,2,4.668,4.580864
5,6,3,4.608,4.545536
5,6,4,4.692,4.616192
5,6,5,4.692,4.521984
5,6,6,4.692,4.604416
5,6,7,4.68,4.521984
5,6,8,4.752,4.545536
5,6,9,4.608,4.47488
5,9,0,6.876,6.747648
5,9,1,6.84,6.582784
5,9,2,6.948,6.806528
5,9,3,6.612,6.735872
5,9,4,6.828,6.676992
5,9,5,6.636,6.582784
5,9,6,6.864,6.676992
5,9,7,6.612,6.700544
5,9,8,6.804,6.700544
5,9,9,6.612,6.688768
5,12,0,8.832,8.726016
5,12,1,9.048,8.761344
5,12,2,8.82,8.690688
5,12,3,8.844,8.761344
5,12,4,8.952,8.643584
5,12,5,8.892,8.572928
5,12,6,8.76,8.620032
5,12,7,8.736,8.71424
5,12,8,8.868,8.561152
5,12,9,8.7,8.549376
5,18,0,12.66,12.411904
5,18,1,12.72,12.42368
5,18,2,12.576,12.270592
5,18,3,12.648,12.564992
5,18,4,12.636,12.411904
5,18,5,12.744,12.588544
5,18,6,12.528,12.258816
5,18,7,12.492,12.647424
5,18,8,12.708,12.470784
5,18,9,12.492,12.18816
5,24,0,16.08,15.414784
5,24,1,15.972,15.850496
5,24,2,15.996,15.744512
5,24,3,15.9,15.508992
5,24,4,15.948,16.086016
5,24,5,15.864,15.673856
5,24,6,16.008,15.709184
5,24,7,16.212,15.909376
5,24,8,15.852,15.932928
5,24,9,16.152,15.8976
5,36,0,22.14,21.997568
5,36,1,22.044,22.221312
5,36,2,21.912,21.90336
5,36,3,22.092,21.738496
5,36,4,22.14,22.056448
5,36,5,21.948,21.750272
5,36,6,22.224,21.7856
5,36,7,22.02,22.091776
5,36,8,22.248,22.091776
5,36,9,22.008,22.303744
5,48,0,27.276,26.837504
5,48,1,26.904,26.990592
5,48,2,26.892,27.014144
5,48,3,27.024,27.073024
5,48,4,26.964,27.061248
5,48,5,26.976,26.825728
5,48,6,26.676,27.120128
5,48,7,26.808,27.332096
5,48,8,26.844,26.96704
5,48,9,26.952,27.002368
5,54,0,29.772,29.20448
5,54,1,29.652,29.687296
5,54,2,29.436,29.628416
5,54,3,29.352,29.44
5,54,4,29.736,29.687296
5,54,5,29.712,29.392896
5,54,6,29.364,29.757952
5,54,7,29.508,29.534208
5,54,8,29.448,29.85216
5,54,9,29.628,29.687296
10,6,0,4.164,3.756544
10,6,1,4.32,3.732992
10,6,2,4.392,3.815424
10,6,3,4.284,3.70944
10,6,4,4.332,3.874304
10,6,5,4.416,3.674112
10,6,6,4.176,3.732992
10,6,7,4.296,3.815424
10,6,8,4.38,3.744768
10,6,9,4.164,3.803648
10,9,0,6.24,5.53472
10,9,1,6.396,5.47584
10,9,2,6.36,5.628928
10,9,3,6.252,5.676032
10,9,4,6.36,5.664256
10,9,5,6.168,5.558272
10,9,6,6.192,5.53472
10,9,7,6.228,5.381632
10,9,8,6.348,5.640704
10,9,9,6.372,5.605376
10,12,0,8.136,7.136256
10,12,1,8.028,7.265792
10,12,2,8.124,7.230464
10,12,3,8.148,7.077376
10,12,4,8.04,7.30112
10,12,5,8.1,7.18336
10,12,6,8.124,7.265792
10,12,7,8.256,7.24224
10,12,8,8.196,7.171584
10,12,9,8.208,7.230464
10,18,0,11.856,10.610176
10,18,1,11.784,10.48064
10,18,2,11.94,10.327552
10,18,3,11.748,10.315776
10,18,4,11.664,10.551296
10,18,5,11.892,10.504192
10,18,6,11.904,10.48064
10,18,7,11.952,10.398208
10,18,8,11.88,10.504192
10,18,9,11.748,10.680832
10,24,0,15.276,13.30688
10,24,1,15.192,13.083136
10,24,2,14.868,13.42464
10,24,3,15.252,13.436416
10,24,4,14.784,13.248
10,24,5,14.928,13.059584
10,24,6,14.868,13.083136
10,24,7,15.12,13.401088
10,24,8,14.724,13.613056
10,24,9,14.784,13.342208
10,36,0,20.52,18.888704
10,36,1,20.628,18.818048
10,36,2,20.472,18.90048
10,36,3,20.46,18.5472
10,36,4,20.58,18.617856
10,36,5,20.532,18.676736
10,36,6,20.712,18.935808
10,36,7,20.424,18.888704
10,36,8,20.688,18.770944
10,36,9,20.652,18.935808
10,48,0,25.092,23.481344
10,48,1,25.368,23.045632
10,48,2,25.176,23.222272
10,48,3,25.08,22.974976
10,48,4,25.308,23.269376
10,48,5,24.996,23.363584
10,48,6,25.14,23.069184
10,48,7,24.96,23.222272
10,48,8,24.864,23.092736
10,48,9,25.152,22.986752
10,54,0,27.54,25.483264
10,54,1,27.372,25.589248
10,54,2,27.372,25.400832
10,54,3,27.6,25.659904
10,54,4,27.816,25.707008
10,54,5,27.636,25.271296
10,54,6,27.648,25.365504
10,54,7,27.372,25.565696
10,54,8,27.408,25.55392
10,54,9,27.624,25.683456
20,6,0,3.804,2.82624
20,6,1,4.116,2.944
20,6,2,4.044,2.849792
20,6,3,4.032,2.82624
20,6,4,3.888,2.849792
20,6,5,4.068,2.908672
20,6,6,3.768,2.861568
20,6,7,3.996,2.59072
20,6,8,3.972,2.955776
20,6,9,3.984,2.755584
20,9,0,5.736,4.156928
20,9,1,5.796,4.215808
20,9,2,5.796,4.286464
20,9,3,5.736,4.156928
20,9,4,5.652,4.145152
20,9,5,5.676,4.345344
20,9,6,5.784,4.18048
20,9,7,5.856,4.192256
20,9,8,5.976,4.380672
20,9,9,5.952,4.35712
20,12,0,7.404,5.511168
20,12,1,7.512,5.522944
20,12,2,7.716,5.440512
20,12,3,7.464,5.35808
20,12,4,7.728,5.676032
20,12,5,7.308,5.687808
20,12,6,7.404,5.452288
20,12,7,7.332,5.452288
20,12,8,7.464,5.393408
20,12,9,7.56,5.428736
20,18,0,10.968,7.854592
20,18,1,11.124,7.960576
20,18,2,10.8,7.901696
20,18,3,11.076,7.760384
20,18,4,10.764,8.06656
20,18,5,10.992,7.878144
20,18,6,10.752,7.960576
20,18,7,11.136,7.995904
20,18,8,10.92,8.349184
20,18,9,10.812,8.054784
20,24,0,13.524,10.492416
20,24,1,13.728,10.209792
20,24,2,13.86,10.351104
20,24,3,13.956,10.209792
20,24,4,13.752,10.162688
20,24,5,13.728,10.18624
20,24,6,13.776,10.12736
20,24,7,14.04,10.409984
20,24,8,13.704,10.256896
20,24,9,13.692,10.339328
20,36,0,19.344,14.390272
20,36,1,19.104,14.449152
20,36,2,19.416,14.354944
20,36,3,19.044,14.449152
20,36,4,19.116,14.402048
20,36,5,19.116,14.708224
20,36,6,19.056,14.331392
20,36,7,19.296,14.566912
20,36,8,18.996,14.449152
20,36,9,19.116,14.555136
20,48,0,23.34,18.19392
20,48,1,23.412,18.217472
20,48,2,23.796,17.993728
20,48,3,23.412,18.01728
20,48,4,23.448,18.07616
20,48,5,23.256,18.099712
20,48,6,23.328,18.029056
20,48,7,23.604,18.064384
20,48,8,22.824,18.052608
20,48,9,23.196,18.029056
20,54,0,25.776,20.337152
20,54,1,25.584,19.948544
20,54,2,25.464,19.854336
20,54,3,25.692,19.96032
20,54,4,25.74,20.231168
20,54,5,25.416,19.501056
20,54,6,25.86,19.948544
20,54,7,25.524,20.184064
20,54,8,25.524,20.266496
20,54,9,25.284,20.348928
30,6,0,3.816,2.29632
30,6,1,3.804,2.3552
30,6,2,3.684,2.378752
30,6,3,3.768,2.461184
30,6,4,3.792,2.202112
30,6,5,3.816,2.284544
30,6,6,3.816,2.11968
30,6,7,3.744,2.11968
30,6,8,3.684,2.260992
30,6,9,3.708,2.013696
30,9,0,5.748,3.273728
30,9,1,5.448,3.309056
30,9,2,5.556,3.214848
30,9,3,5.556,3.17952
30,9,4,5.508,3.391488
30,9,5,5.436,3.35616
30,9,6,5.796,3.097088
30,9,7,5.424,3.17952
30,9,8,5.508,3.344384
30,9,9,5.472,3.332608
30,12,0,7.236,4.06272
30,12,1,7.104,4.310016
30,12,2,7.248,4.286464
