device_count,rate,IP_old_avg,IP_new_avg,UDP_old_avg,UDP_new_avg
2,6,5.0892,5.3772,5.0964,5.2768256000000004
2,9,7.449599999999999,7.789199999999999,7.4483999999999995,7.643801600000001
2,12,9.642,10.041599999999999,9.6336,9.8541568
2,18,13.732800000000001,14.1648,13.738800000000001,13.900390400000001
2,24,17.2752,17.6796,17.2752,17.349580800000002
2,36,23.5596,23.8368,23.5584,23.3918464
2,48,28.6548,28.6572,28.6548,28.122265600000002
2,54,31.068,31.0296,31.0704,30.450380799999998
5,6,4.7076,4.6116,4.6704,4.5255168
5,9,6.8568,6.792,6.7632,6.665215999999999
5,12,8.8128,8.826,8.8452,8.661248
5,18,12.6708,12.6984,12.6204,12.4613632
5,24,15.9864,16.0836,15.9984,15.7833728
5,36,22.0716,22.3992,22.0776,21.9810816
5,48,26.943599999999996,27.523199999999996,26.931599999999996,27.0094336
5,54,29.446800000000003,30.156,29.5608,29.593088
10,6,4.3427999999999995,3.8531999999999997,4.2924,3.7812736
10,9,6.3144,5.6832,6.2916,5.5771136
10,12,8.2092,7.4808,8.136,7.3411584
10,18,11.7456,10.814400000000001,11.8368,10.612531200000001
10,24,14.940000000000001,13.7436,14.9796,13.4870528
10,36,20.732400000000002,19.2684,20.5668,18.9087232
10,48,25.284,23.9136,25.113599999999998,23.467212800000002
10,54,27.566399999999998,26.175599999999996,27.5388,25.6869888
20,6,3.9408000000000003,3.0564,3.9671999999999996,2.9993472
20,9,5.7732,4.5504,5.796,4.4654592
20,12,7.5852,5.9856,7.489199999999999,5.8738688
20,18,10.866,8.6736,10.9344,8.5116928
20,24,13.752,11.1072,13.776,10.8998656
20,36,19.104000000000003,15.8028,19.1604,15.5078144
20,48,23.3964,19.5996,23.3616,19.2337408
20,54,25.6368,21.6672,25.5864,21.2627456
30,6,3.75,2.5896,3.7632,2.5412608
30,9,5.526000000000001,3.8375999999999997,5.5451999999999995,3.7659648
30,12,7.2132000000000005,5.0748,7.210800000000001,4.9800704
30,18,10.2924,7.409999999999999,10.3188,7.271680000000001
30,24,13.076400000000001,9.576,13.1124,9.397248
30,36,18.1104,13.559999999999999,18.1644,13.306880000000001
30,48,22.159200000000002,16.9812,22.2732,16.6642176
30,54,24.4668,18.5928,24.3792,18.2457344
40,6,3.564,2.2356000000000003,3.6336,2.1938687999999997
40,9,5.3027999999999995,3.3840000000000003,5.299200000000001,3.3208320000000002
40,12,6.951600000000001,4.428,6.8352,4.345344
40,18,9.874799999999999,6.460800000000001,9.852,6.3401984
40,24,12.6036,8.3628,12.604800000000001,8.2066944
40,36,17.334,11.964,17.436,11.740672
40,48,21.4356,14.8764,21.397199999999998,14.598707200000002
40,54,23.4012,16.488,23.498399999999997,16.180224000000003
50,6,3.4200000000000004,1.9164,3.4872,1.8806272
50,9,5.154,2.9112,5.1216,2.8568576
50,12,6.6732,3.8280000000000003,6.5652,3.7565440000000003
50,18,9.584399999999999,5.7048000000000005,9.5748,5.5983104
50,24,12.1812,7.3128,12.1188,7.176294400000001
50,36,16.866,10.532399999999999,16.7916,10.3357952
50,48,20.8248,13.250399999999999,20.581200000000003,13.003059200000001
50,54,22.7484,14.5932,22.690800000000003,14.320793599999998
60,6,3.3528,1.6332,3.4176,1.6027136
60,9,5.0064,2.5463999999999998,5.0123999999999995,2.4988672000000003
60,12,6.4248,3.3876,6.426,3.3243648
60,18,9.3168,5.054399999999999,9.2784,4.9600512000000005
60,24,11.9484,6.6,11.821200000000001,6.4768
60,36,16.3632,9.4128,16.3308,9.2370944
60,48,20.128800000000002,11.7684,20.0988,11.548723200000001
60,54,21.9948,13.0584,22.008000000000003,12.8146432
70,6,3.2328,1.4616,3.312,1.4343168
70,9,4.8492,2.298,4.881600000000001,2.255104
70,12,6.3372,3.0228,6.3576,2.9663744000000003
70,18,9.086400000000001,4.5276,9.059999999999999,4.443084799999999
70,24,11.389199999999999,5.8944,11.482800000000001,5.7843712
70,36,16.0332,8.4336,16.02,8.276172800000001
70,48,19.666800000000002,10.5636,19.564799999999998,10.3664128
70,54,21.4704,11.6844,21.5916,11.4662912
80,6,3.1176000000000004,1.2912000000000001,3.186,1.2670976
80,9,4.686,2.0352,4.755599999999999,1.9972096000000001
80,12,6.1608,2.7,6.1128,2.6496000000000004
80,18,8.85,4.014,8.91,3.9390720000000004
80,24,11.208,5.2332,11.124,5.1355136
80,36,15.508799999999999,7.614,15.628800000000002,7.471872
80,48,19.1124,9.354000000000001,19.1436,9.179392
80,54,20.9784,10.5444,20.8044,10.3475712
90,6,3.1188,1.122,3.1776,1.101056
90,9,4.6368,1.8408000000000002,4.6872,1.8064384
90,12,6.0312,2.3904,6.036,2.3457792
90,18,8.6328,3.5747999999999998,8.600399999999999,3.5080704
90,24,10.9968,4.7652,10.9872,4.6762496
90,36,15.259199999999998,6.8208,15.2868,6.693478400000001
90,48,18.7908,8.5668,18.7428,8.406886400000001
90,54,20.510399999999997,9.4668,20.6568,9.2900864
100,6,3.0096,0.9684000000000001,3.0588,0.9503232
100,9,4.5192,1.5804,4.4364,1.5508992000000001
100,12,5.9124,2.1708000000000003,5.8536,2.1302784
100,18,8.5344,3.1391999999999998,8.420399999999999,3.0806016
100,24,10.7616,4.151999999999999,10.7304,4.074496
100,36,14.972399999999999,6.0048,14.9292,5.8927104
100,48,18.3684,7.529999999999999,18.3708,7.3894400000000005
100,54,20.134800000000002,8.3748,20.1672,8.2184704
